# index	char	gb0	gb1	ink

198	8	0x00	0x38	58
199	9	0x00	0x39	51
200	A	0x00	0x41	61
201	B	0x00	0x42	75
202	C	0x00	0x43	45
203	D	0x00	0x44	72
204	E	0x00	0x45	58
205	F	0x00	0x46	48
206	G	0x00	0x47	64
207	H	0x00	0x48	73
208	I	0x00	0x49	35
209	J	0x00	0x4A	38
210	K	0x00	0x4B	67
211	L	0x00	0x4C	42
212	M	0x00	0x4D	89
213	N	0x00	0x4E	75
214	O	0x00	0x4F	66
215	P	0x00	0x50	59
216	Q	0x00	0x51	70
217	R	0x00	0x52	70
218	S	0x00	0x53	51
219	T	0x00	0x54	39
220	U	0x00	0x55	63
221	V	0x00	0x56	51
222	W	0x00	0x57	94
223	X	0x00	0x58	57
224	Y	0x00	0x59	44
225	Z	0x00	0x5A	55
226	a	0x00	0x61	43
227	b	0x00	0x62	56
228	c	0x00	0x63	30
229	d	0x00	0x64	55
230	e	0x00	0x65	37
231	f	0x00	0x66	35
232	g	0x00	0x67	51
233	h	0x00	0x68	53
234	i	0x00	0x69	24
235	j	0x00	0x6A	29
236	k	0x00	0x6B	51
237	l	0x00	0x6C	28
238	m	0x00	0x6D	69
239	n	0x00	0x6E	45
240	o	0x00	0x6F	43
241	p	0x00	0x70	50
242	q	0x00	0x71	49
243	r	0x00	0x72	24
244	s	0x00	0x73	34
245	t	0x00	0x74	32
246	u	0x00	0x75	47
247	v	0x00	0x76	35
248	w	0x00	0x77	60
249	x	0x00	0x78	42
250	y	0x00	0x79	40
251	z	0x00	0x7A	37
252	~	0x00	0x7E	13
253	!	0x00	0x21	25
254	@	0x00	0x40	80
255	#	0x00	0x23	46
256	$	0x00	0x24	51
257	^	0x00	0x5E	21
258	&	0x00	0x26	80
259	*	0x00	0x2A	17
260	_	0x00	0x5F	12
261	-	0x00	0x2D	9
262	+	0x00	0x2B	23
263	=	0x00	0x3D	24
264	<	0x00	0x3C	21
265	>	0x00	0x3E	23
266	：	0xA3	0xBA	14
267	·	0xA1	0xA4	14
268	（	0xA3	0xA8	24
269	）	0xA3	0xA9	24
270	【	0xA1	0xBE	45
271	】	0xA1	0xBF	44
