# index	char	gb0	gb1	ink

199	D	0x00	0x44	43
200	E	0x00	0x45	33
201	F	0x00	0x46	25
202	G	0x00	0x47	40
203	H	0x00	0x48	33
204	I	0x00	0x49	15
205	J	0x00	0x4A	24
206	K	0x00	0x4B	37
207	L	0x00	0x4C	24
208	M	0x00	0x4D	60
209	N	0x00	0x4E	51
210	O	0x00	0x4F	45
211	P	0x00	0x50	33
212	Q	0x00	0x51	49
213	R	0x00	0x52	41
214	S	0x00	0x53	34
215	T	0x00	0x54	20
216	U	0x00	0x55	39
217	V	0x00	0x56	35
218	W	0x00	0x57	61
219	X	0x00	0x58	35
220	Y	0x00	0x59	29
221	Z	0x00	0x5A	37
222	a	0x00	0x61	32
223	b	0x00	0x62	46
224	c	0x00	0x63	21
225	d	0x00	0x64	36
226	e	0x00	0x65	31
227	f	0x00	0x66	23
228	g	0x00	0x67	35
229	h	0x00	0x68	37
230	i	0x00	0x69	18
231	j	0x00	0x6A	22
232	k	0x00	0x6B	38
233	l	0x00	0x6C	24
234	m	0x00	0x6D	44
235	n	0x00	0x6E	29
236	o	0x00	0x6F	32
237	p	0x00	0x70	42
238	q	0x00	0x71	32
239	r	0x00	0x72	19
240	s	0x00	0x73	24
241	t	0x00	0x74	21
242	u	0x00	0x75	30
243	v	0x00	0x76	23
244	w	0x00	0x77	43
245	x	0x00	0x78	24
246	y	0x00	0x79	27
247	z	0x00	0x7A	29
248	~	0x00	0x7E	12
249	!	0x00	0x21	11
250	@	0x00	0x40	68
251	#	0x00	0x23	38
252	$	0x00	0x24	37
253	^	0x00	0x5E	16
254	&	0x00	0x26	58
255	*	0x00	0x2A	11
256	_	0x00	0x5F	7
257	-	0x00	0x2D	8
258	+	0x00	0x2B	15
259	=	0x00	0x3D	22
260	<	0x00	0x3C	16
261	>	0x00	0x3E	15
262	：	0xA3	0xBA	7
263	·	0xA1	0xA4	2
264	（	0xA3	0xA8	19
265	）	0xA3	0xA9	19
266	【	0xA1	0xBE	38
267	】	0xA1	0xBF	38
